Rule: udp

序号: 1
源IP: 172.20.194.62 
目的IP: 239.255.255.250 
源端口[UDP]: 59361
目的端口[UDP]: 1900

序号: 2
源IP: 127.0.0.1 
目的IP: 127.0.0.1 
源端口[UDP]: 6687
目的端口[UDP]: 6689

序号: 3
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 39650
目的端口[UDP]: 53

序号: 4
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 48126
目的端口[UDP]: 53

序号: 5
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 39650

序号: 6
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 48126

序号: 7
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 39944
目的端口[UDP]: 53

序号: 8
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 39944

序号: 9
源IP: 0.0.0.0 
目的IP: 23.125.221.58 

序号: 10
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 38175
目的端口[UDP]: 53

序号: 11
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 38175

序号: 12
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 56063
目的端口[UDP]: 53

序号: 13
源IP: 172.20.194.62 
目的IP: 10.128.1.115 
源端口[UDP]: 53257
目的端口[UDP]: 53

序号: 14
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 56063

序号: 15
源IP: 10.128.1.115 
目的IP: 172.20.194.62 
源端口[UDP]: 53
目的端口[UDP]: 53257

